system:index,cropland_ha,month,spray_hours_ha_sum,spray_hours_mean,year,.geo
0,2.5668899775819036E8,4,1.0702901482259237E10,41.695988436332314,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.5668899775819036E8,5,7.277733594596121E9,28.3523394386073,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.5668899775819036E8,6,5.006749597925932E9,19.505119586942552,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.5668899775819036E8,4,9.835443497906546E9,38.31657602704056,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.5668899775819036E8,5,6.594791069681416E9,25.691755888555573,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.5668899775819036E8,6,3.84021866094985E9,14.960589251929935,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.5668899775819036E8,4,9.968443979925913E9,38.83471464295685,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.5668899775819036E8,5,5.147791999063198E9,20.054587629472888,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.5668899775819036E8,6,4.693858720245601E9,18.286170273130963,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.5668899775819036E8,4,9.080463867241417E9,35.375352845451985,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.5668899775819036E8,5,6.391552576209082E9,24.899986489604586,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5668899775819036E8,6,5.597022431809074E9,21.80468380293283,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.5668899775819036E8,4,1.0750340940489729E10,41.88080141485811,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.5668899775819036E8,5,9.578942306631508E9,37.317307676954634,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5668899775819036E8,6,4.644237737697042E9,18.092858588633668,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.5668899775819036E8,4,6.616029245520641E9,25.77449482954919,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5668899775819036E8,5,7.036459029739283E9,27.412390445997467,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5668899775819036E8,6,6.538126231826087E9,25.47100299945548,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.5668899775819036E8,4,1.0680791332273783E10,41.60985248902427,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.5668899775819036E8,5,5.430251043443251E9,21.1549816738103,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.5668899775819036E8,6,5.4689752725988245E9,21.30584216839236,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.5668899775819036E8,4,1.1249458731231825E10,43.82524700894735,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.5668899775819036E8,5,8.908067118799883E9,34.7037356357267,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2.5668899775819036E8,6,5.273969850032057E9,20.546146878489562,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2.5668899775819036E8,4,1.2354707539655724E10,48.131036575608405,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.5668899775819036E8,5,6.1810106652451725E9,24.07976469278941,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2.5668899775819036E8,6,4.570945459548911E9,17.80732910046614,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2.5668899775819036E8,4,1.0619793596712082E10,41.372219648916484,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2.5668899775819036E8,5,6.2098085373790245E9,24.191954433625053,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2.5668899775819036E8,6,4.3407325908658695E9,16.910473876075457,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
