system:index,date,total_precip_mm,.geo
201604,2016-04,5.669737426885292,"{""type"":""MultiPoint"",""coordinates"":[]}"
201605,2016-05,7.283862976270342,"{""type"":""MultiPoint"",""coordinates"":[]}"
201606,2016-06,8.579954806947216,"{""type"":""MultiPoint"",""coordinates"":[]}"
201704,2017-04,3.832024894669327,"{""type"":""MultiPoint"",""coordinates"":[]}"
201705,2017-05,5.901645689452577,"{""type"":""MultiPoint"",""coordinates"":[]}"
201706,2017-06,9.968908383894181,"{""type"":""MultiPoint"",""coordinates"":[]}"
201804,2018-04,4.089515082954597,"{""type"":""MultiPoint"",""coordinates"":[]}"
201805,2018-05,6.115087951690646,"{""type"":""MultiPoint"",""coordinates"":[]}"
201806,2018-06,8.63307477341354,"{""type"":""MultiPoint"",""coordinates"":[]}"
201904,2019-04,4.4102440857885625,"{""type"":""MultiPoint"",""coordinates"":[]}"
201905,2019-05,6.207237011392684,"{""type"":""MultiPoint"",""coordinates"":[]}"
201906,2019-06,7.825953828658523,"{""type"":""MultiPoint"",""coordinates"":[]}"
202004,2020-04,3.7663472146567845,"{""type"":""MultiPoint"",""coordinates"":[]}"
202005,2020-05,5.266190656583272,"{""type"":""MultiPoint"",""coordinates"":[]}"
202006,2020-06,7.991350727450884,"{""type"":""MultiPoint"",""coordinates"":[]}"
202104,2021-04,5.0457932122442735,"{""type"":""MultiPoint"",""coordinates"":[]}"
202105,2021-05,6.242284553252145,"{""type"":""MultiPoint"",""coordinates"":[]}"
202106,2021-06,7.615251362211684,"{""type"":""MultiPoint"",""coordinates"":[]}"
202204,2022-04,4.261846225743521,"{""type"":""MultiPoint"",""coordinates"":[]}"
202205,2022-05,8.595771939574092,"{""type"":""MultiPoint"",""coordinates"":[]}"
202206,2022-06,8.62852691237201,"{""type"":""MultiPoint"",""coordinates"":[]}"
202304,2023-04,2.0169475631151825,"{""type"":""MultiPoint"",""coordinates"":[]}"
